signatur;adm;hicr;strichcode;inventarnummer;exemplar-id;bestands-id;mms-id
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801;000052079;;;;;;
c15801:10-19/ind;000793907;;;;;;
c15801:1-68/indrg;000588583;h;;;;;
c15801:20-29/ind;000793908;h;;;;;
c15801:30-39/ind;000793909;h;;;;;
c15801:40-49/ind;000793910;h;;;;;
c15801:50-59/ind;000964451;h;;;;;
c15801:60-64/ind;001423708;h;;;;;
c15802/01;000051597;;;;;;
c15802/02;000051597;;;;;;
c15802/03;000051597;;;;;;
c15802/04;000051597;;;;;;
c15802/05;000051597;;;;;;
c15802/06;000051597;;;;;;
c15803/1;000165890;;04300003046678;5994486;2318599470005510;2218599480005510;990001658900205510
c15803/2;000165891;;04300003046679;5994504;2318499100005510;2218499110005510;990001658910205510
c15803/3;000165892;;04300003046680;5994510;2318618180005510;2218618190005510;990001658920205510
c15804;000270454;;;;;;
c15805/1;000018745;;04300003046682;5994550;2318307270005510;2218307280005510;990000187450205510
c15810/.01;000029289;;;;;;
c15810/.02;000029289;;;;;;
c15810/.03;000029289;;;;;;
c15810/.04;000029289;;;;;;
c15810/.05;000029290;;;;;;
c15810/.06;000029290;;;;;;
c15810/.07;000029290;;;;;;
c15810/.08;000029290;;;;;;
c15810/.09;000029290;;;;;;
c15810/.10;000029290;;;;;;
c15810/.11;000029290;;;;;;
c15810/.12;000029290;;;;;;
c15810/.13;000029290;;;;;;
c15810/.14;000029290;;;;;;
c15810/.15;000029290;;;;;;
c15810/.16;000029290;;;;;;
c15810/.17;000029290;;;;;;
c15810/.18;000029290;;;;;;
c15810/.19;000029290;;;;;;
c15810/.20;000029290;;;;;;
c15810/.21;000029290;;;;;;
c15810/.22;000029290;;;;;;
c15810/.23;000029290;;;;;;
c15810/.24;000029290;;;;;;
c15810/.25;000029290;;;;;;
c15810/.26;000029290;;;;;;
c15810/.27;000029290;;;;;;
c15810/.28;000029290;;;;;;
c15810/.29;000029290;;;;;;
c15810/30;000029290;;;;;;
c15810/31;000029290;;;;;;
c15810/32;000029290;;;;;;
c15810/33;000029290;;;;;;
c15810/34;000029290;;;;;;
